#,FORM,LEMMA,GRAM,COMMENT,CHECKED,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM,AUTO_GRAM
#doc=reaction_on_mv_ice_cream_cake.2.txt,,,,,,,,,,,,,,,
10,есть,БЫТЬ,V ipf praes sg indic intr act 3p,,,ь,т,с,е,,,V,БЫТЬ,V ipf praes sg indic - 3p,
11,скрытый,СКРЫТЫЙ,A - acc sg plen m inan,,,й,ы,т,ы,р,к,A,СКРЫТЫЙ,A - acc sg plen m inan,
12,смысл,СМЫСЛ,S m inan acc sg,,,л,с,ы,м,с,,S,СМЫСЛ,S m inan acc sg,
13,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Думаешь,ДУМАТЬ,V ipf praes sg indic intr act 2p,,,ь,ш,е,а,м,у,V,ДУМАТЬ,V ipf praes sg indic - 2p,
4,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
5,здесь,ЗДЕСЬ,ADV -,,,ь,с,е,д,з,,ADV,ЗДЕСЬ,ADV -,
6,нет,НЕТ,PART,,,т,е,н,,,,ADV,НЕТ,ADV -,
7,смысла,СМЫСЛ,S m inan gen sg,,,а,л,с,ы,м,с,S,СМЫСЛ,S m inan gen sg,
8,?,?,SENT,,,,,,,,,SENT,?,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Ну,НУ,PART,,,у,н,,,,,PART,НУ,PART,
4,...,...,SENT,,,,,,,,,SENT,...,SENT,
,,,,,,,,,,,,,,,
1,Может,МОЖЕТ,V ipf praes sg indic intr 3p,"а вообще, это вводное слово, но такой пометы я не нашла :(",,т,е,ж,о,м,,ADV,МОЖЕТ,ADV -,
2,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
3,авторы,АВТОР,S m anim nom pl,,,ы,р,о,т,в,а,S,АВТОР,S m anim nom pl,
4,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
5,конечно,КОНЕЧНО,ADV -,,,о,н,ч,е,н,о,ADV,КОНЕЧНО,ADV -,
6,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
7,что-нибудь,ЧТО-НИБУДЬ,S n - acc sg,,,ь,д,у,б,и,н,S,ЧТО-НИБУДЬ,S n - acc sg,
8,и,И,CONJ,,,и,,,,,,CONJ,И,CONJ,
9,думают,ДУМАТЬ,V ipf praes pl indic intr act 3p,,,т,ю,а,м,у,д,V,ДУМАТЬ,V ipf praes pl indic - 3p,
10,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
11,ну,НУ,PART,,,у,н,,,,,PART,НУ,PART,
12,...,...,SENT,,,,,,,,,SENT,...,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S m inan gen sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Ну,НУ,PART,,,у,н,,,,,PART,НУ,PART,
4,не,НЕ,PART,,,е,н,,,,,PART,НЕ,PART,
5,знаю,ЗНАТЬ,V ipf praes sg indic tran 1p,,,ю,а,н,з,,,V,ЗНАТЬ,V ipf praes sg indic - 1p,
6,...,...,SENT,,,,,,,,,SENT,...,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Я,Я,SPRO sg 1p - nom,,,я,,,,,,SPRO,Я,SPRO sg 1p - nom,
4,думаю,ДУМАТЬ,V ipf praes sg indic intr act 1p,,,ю,а,м,у,д,,V,ДУМАТЬ,V ipf praes sg indic - 1p,
5,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
6,большинство,БОЛЬШИНСТВО,S n inan nom sg,,,о,в,т,с,н,и,S,БОЛЬШИНСТВО,S n inan nom sg,
7,просто,ПРОСТО,PART,,,о,т,с,о,р,п,PART,ПРОСТО,PART,
8,...,...,SENT,,,,,,,,,SENT,...,SENT,
,,,,,,,,,,,,,,,
1,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
2,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
3,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
4,[,[,PUNC,,,,,,,,,PUNC,[,PUNC,
5,нрзб,НРЗБ,NONLEX,,,б,з,р,н,,,NONLEX,НРЗБ,NONLEX,
6,],],PUNC,,,,,,,,,PUNC,],PUNC,
7,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
8,/,/,PUNC,,,,,,,,,PUNC,/,PUNC,
9,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
10,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
11,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
12,span,SPAN,NONLEX,,,,,,,,,NONLEX,SPAN,NONLEX,
13,class,CLASS,NONLEX,,,,,,,,,NONLEX,CLASS,NONLEX,
14,=,=,PUNC,,,,,,,,,PUNC,=,PUNC,
15,	,_,,,,,,,,,,,_,16,
16,note,NOTE,NONLEX,,,,,,,,,NONLEX,NOTE,NONLEX,
17,	,_,,,,,,,,,,,_,16,
18,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
19,Говорят,ГОВОРИТЬ,NONLEX,,,т,я,р,о,в,о,V,ГОВОРИТЬ,V ipf praes pl indic - 3p,
20,одновременно,ОДНОВРЕМЕННО,NONLEX,,,о,н,н,е,м,е,ADV,ОДНОВРЕМЕННО,ADV -,
21,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
22,/,/,PUNC,,,,,,,,,PUNC,/,PUNC,
23,span,SPAN,NONLEX,,,,,,,,,NONLEX,SPAN,NONLEX,
24,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
25,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Это,ЭТО,SPRO nom sg ,,,о,т,э,,,,S,ЭТО,S n - nom sg,
4,так,ТАК,ADV -,,,к,а,т,,,,ADV,ТАК,ADV -,
5,резко,РЕЗКО,ADV -,,,о,к,з,е,р,,ADV,РЕЗКО,ADV -,
6,с,С,PR,,,с,,,,,,PR,С,PR,
7,заправки,ЗАПРАВКА,S f inan gen sg,,,и,к,в,а,р,п,S,ЗАПРАВКА,S f inan gen sg,
8,в,В,PR,,,в,,,,,,PR,В,PR,
9,машину,МАШИНА,S f inan acc sg,,,у,н,и,ш,а,м,S,МАШИНА,S f inan acc sg,
10,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
11,а,А,CONJ,,,а,,,,,,CONJ,А,CONJ,
12,потом,ПОТОМ,ADV -,,,м,о,т,о,п,,ADV,ПОТОМ,ADV -,
13,в,В,PR,,,в,,,,,,PR,В,PR,
14,кафе,КАФЕ,S n inan acc sg,,,е,ф,а,к,,,S,КАФЕ,S n inan nonflex nonflex,
15,какое-то,КАКОЙ-ТО,APRO - acc sg plen n -,,,о,т,,е,о,к,A,КАКОЙ-ТО,A - acc sg plen n inan,
16,...,...,SENT,,,,,,,,,SENT,...,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Ну,НУ,PART,,,у,н,,,,,PART,НУ,PART,
4,еще,ЕЩЕ,ADV -,,,е,щ,е,,,,ADV,ЕЩЕ,ADV -,
5,какой-то,КАКОЙ-ТО,APRO - nom sg plen m -,,,о,т,,й,о,к,A,КАКОЙ-ТО,A - nom sg plen m -,
6,мяч,МЯЧ,S m inan nom sg,,,ч,я,м,,,,S,МЯЧ,S m inan nom sg,
7,катится,КАТИТЬСЯ,V ipf praes sg indic intr med 3p,,,я,с,т,и,т,а,V,КАТИТЬСЯ,V ipf praes sg indic - 3p,
8,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
9,что,ЧТО,CONJ,,,о,т,ч,,,,CONJ,ЧТО,CONJ,
10,это,ЭТО,S n - nom sg,,,о,т,э,,,,S,ЭТО,S n - nom sg,
11,...,...,SENT,,,,,,,,,SENT,...,SENT,
,,,,,,,,,,,,,,,
1,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
2,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
3,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
4,[,[,PUNC,,,,,,,,,PUNC,[,PUNC,
5,нрзб,НРЗБ,NONLEX,,,б,з,р,н,,,NONLEX,НРЗБ,NONLEX,
6,],],PUNC,,,,,,,,,PUNC,],PUNC,
7,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
8,/,/,PUNC,,,,,,,,,PUNC,/,PUNC,
9,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
10,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
11,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Да,ДА,PART,,,а,д,,,,,CONJ,ДА,CONJ,
4,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
5,что,ЧТО,CONJ,,,о,т,ч,,,,CONJ,ЧТО,CONJ,
6,это,ЭТО,SPRO nom sg ,,,о,т,э,,,,S,ЭТО,S n - nom sg,
7,значит,ЗНАЧИТЬ,V ipf praes sg indic intr act 3p,,,т,и,ч,а,н,з,V,ЗНАЧИТЬ,V ipf praes sg indic - 3p,
8,вообще,ВООБЩЕ,ADV -,,,е,щ,б,о,о,в,ADV,ВООБЩЕ,ADV -,
9,?,?,SENT,,,,,,,,,SENT,?,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S m inan gen sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Красивые,КРАСИВЫЙ,A - nom pl plen - -,,,е,ы,в,и,с,а,A,КРАСИВЫЙ,A - nom pl plen - -,
4,волосы,ВОЛОС,S m inan nom pl,,,ы,с,о,л,о,в,S,ВОЛОС,S m inan nom pl,
5,у,У,PR,,,у,,,,,,PR,У,PR,
6,рыженькой,РЫЖЕНЬКИЙ,A - gen sg plen f -,,,й,о,к,ь,н,е,A,РЫЖЕНЬКИЙ,A - dat sg plen f -,
7,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,У,У,PR,,,у,,,,,,PR,У,PR,
4,них,ОНИ,SPRO pl - - loc,,,х,и,н,,,,SPRO,ОНИ,SPRO pl - - loc,
5,у,У,PR,,,у,,,,,,PR,У,PR,
6,всех,ВСЕ,SPRO - - gen pl,,,х,е,с,в,,,S,ВСЕ,S - - gen pl,
7,красивые,КРАСИВЫЙ,A - nom pl plen - -,,,е,ы,в,и,с,а,A,КРАСИВЫЙ,A - nom pl plen - -,
8,волосы,ВОЛОС,S m inan nom pl,,,ы,с,о,л,о,в,S,ВОЛОС,S m inan nom pl,
9,...,...,SENT,,,,,,,,,SENT,...,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S m inan gen sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Да,ДА,PART,,,а,д,,,,,PART,ДА,PART,
4,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Мелодия,МЕЛОДИЯ,S f inan nom sg,,,я,и,д,о,л,е,S,МЕЛОДИЯ,S f inan nom sg,
4,такая,ТАКОЙ,APRO - nom sg plen f -,,,я,а,к,а,т,,A,ТАКОЙ,A - nom sg plen f -,
5,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
6,заедает,ЗАЕДАТЬ,V ipf praes sg indic intr act 3p,,,т,е,а,д,е,а,V,ЗАЕДАТЬ,V ipf praes sg indic - 3p,
7,в,В,PR,,,в,,,,,,PR,В,PR,
8,голове,ГОЛОВА,S f inan loc sg,,,е,в,о,л,о,г,S,ГОЛОВА,S f inan loc sg,
9,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
4,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
5,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
6,[,[,PUNC,,,,,,,,,PUNC,[,PUNC,
7,нрзб,НРЗБ,NONLEX,,,б,з,р,н,,,NONLEX,НРЗБ,NONLEX,
8,],],PUNC,,,,,,,,,PUNC,],PUNC,
9,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
10,/,/,PUNC,,,,,,,,,PUNC,/,PUNC,
11,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
12,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
13,...,...,SENT,,,,,,,,,SENT,...,SENT,
,,,,,,,,,,,,,,,
1,Да,ДА,PART,,,а,д,,,,,CONJ,ДА,CONJ,
2,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
3,еще,ЕЩЕ,ADV -,,,е,щ,е,,,,ADV,ЕЩЕ,ADV -,
4,ритм,РИТМ,S m inan nom sg,,,м,т,и,р,,,S,РИТМ,S m inan nom sg,
5,такой,ТАКОЙ,A - nom sg plen m -,,,й,о,к,а,т,,A,ТАКОЙ,A - nom sg plen m -,
6,классный,КЛАССНЫЙ,A - nom sg plen m -,,,й,ы,н,с,с,а,A,КЛАССНЫЙ,A - nom sg plen m -,
7,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Ага,АГА,PART,,,а,г,а,,,,PART,АГА,PART,
4,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,И,И,CONJ,,,и,,,,,,CONJ,И,CONJ,
4,съемка,СЪЕМКА,S f inan nom sg,,,а,к,м,е,ъ,с,S,СЪЕМКА,S f inan nom sg,
5,!,!,SENT,,,,,,,,,SENT,!,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Так,ТАК,INTJ,,,к,а,т,,,,ADV,ТАК,ADV -,
4,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
5,а,А,CONJ,,,а,,,,,,CONJ,А,CONJ,
6,теперь,ТЕПЕРЬ,ADV -,,,ь,р,е,п,е,т,ADV,ТЕПЕРЬ,ADV -,
7,они,ОНИ,SPRO pl - - nom,,,и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,
8,едут,ЕХАТЬ,V ipf praes pl indic intract  3p ,,,т,у,д,е,,,V,ЕХАТЬ,V ipf praes pl indic - 3p,
9,в...,В...,PR,,,,,,в,,,PR,В...,PR,
10,тележке,ТЕЛЕЖКА,S f inan loc sg,,,е,к,ж,е,л,е,S,ТЕЛЕЖКА,S f inan dat sg,
11,?,?,SENT,,,,,,,,,SENT,?,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Я,Я,SPRO sg 1p - nom,,,я,,,,,,SPRO,Я,SPRO sg 1p - nom,
4,уже,УЖЕ,ADV -,,,е,ж,у,,,,ADV,УЖЕ,ADV -,
5,перестала,ПЕРЕСТАТЬ,V pf praet sg indic f intr act,,,а,л,а,т,с,е,V,ПЕРЕСТАТЬ,V pf praet sg indic f -,
6,понимать,ПОНИМАТЬ,V ipf - - inf tran act,,,ь,т,а,м,и,н,V,ПОНИМАТЬ,V ipf - - inf - -,
7,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
8,что,ЧТО,CONJ,,,о,т,ч,,,,CONJ,ЧТО,CONJ,
9,там,ТАМ,"ADVPRO 
",,,м,а,т,,,,ADV,ТАМ,ADV -,
10,происходит,ПРОИСХОДИТЬ,V ipf praes sg indic intr act 3p,,,т,и,д,о,х,с,V,ПРОИСХОДИТЬ,V ipf praes sg indic - 3p,
11,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
12,но,НО,CONJ,,,о,н,,,,,CONJ,НО,CONJ,
13,...,...,SENT,,,,,,,,,SENT,...,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S m inan gen sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Танец,ТАНЕЦ,S m inan nom sg,,,ц,е,н,а,т,,S,ТАНЕЦ,S m inan nom sg,
4,классный,КЛАССНЫЙ,A - nom sg plen m -,,,й,ы,н,с,с,а,A,КЛАССНЫЙ,A - nom sg plen m -,
5,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
6,сложный,СЛОЖНЫЙ,A - nom sg plen m -,,,й,ы,н,ж,о,л,A,СЛОЖНЫЙ,A - nom sg plen m -,
7,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
8,видно,ВИДНО,ADV -,,,о,н,д,и,в,,ADV,ВИДНО,ADV -,
9,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Да,ДА,PART,,,а,д,,,,,PART,ДА,PART,
4,...,...,SENT,,,,,,,,,SENT,...,SENT,
,,,,,,,,,,,,,,,
1,Обе,ОБА,NONLEX,,,е,б,о,,,,NUM,ОБА,NUM nom f -,
2,смеются,СМЕЯТЬСЯ,NONLEX,,,я,с,т,ю,е,м,V,СМЕЯТЬСЯ,V ipf praes pl indic - 3p,
3,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Что,ЧТО,CONJ,,,о,т,ч,,,,CONJ,ЧТО,CONJ,
4,это,ЭТО,S n inan acc sg,,,о,т,э,,,,S,ЭТО,S n inan acc sg,
5,?,?,SENT,,,,,,,,,SENT,?,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S m inan gen sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Ладно,ЛАДНО,PART,,,о,н,д,а,л,,PART,ЛАДНО,PART,
4,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
5,я,Я,SPRO sg 1p - nom,,,я,,,,,,SPRO,Я,SPRO sg 1p - nom,
6,пыталась,ПЫТАТЬСЯ,V ipf praet sg indic intr f med,,,ь,с,а,л,а,т,V,ПЫТАТЬСЯ,V ipf praet sg indic f -,
7,понять,ПОНЯТЬ,V pf - - inf tran act,,,ь,т,я,н,о,п,V,ПОНЯТЬ,V pf - - inf - -,
8,о,О,PR,,,о,,,,,,PR,О,PR,
9,чем,ЧТО,SPRO - loc sg,,,м,е,ч,,,,S,ЧТО,S n - ins sg,
10,...,...,SENT,,,,,,,,,SENT,...,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Сколько,СКОЛЬКО,ADV -,,,о,к,ь,л,о,к,ADV,СКОЛЬКО,ADV -,
4,раз,РАЗ,S m inan acc pl,,,з,а,р,,,,S,РАЗ,S m inan acc sg,
5,они,ОНИ,SPRO pl - - nom,,,и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,
6,уже,УЖЕ,ADV -,,,е,ж,у,,,,ADV,УЖЕ,ADV -,
7,сменили,СМЕНИТЬ,V pf praet pl indic tran -,,,и,л,и,н,е,м,V,СМЕНИТЬ,V pf praet pl indic - -,
8,наряды,НАРЯД,S m inan nom pl,,,ы,д,я,р,а,н,S,НАРЯД,S m inan nom pl,
9,?,?,SENT,,,,,,,,,SENT,?,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S m inan gen sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,А,А,CONJ,,,а,,,,,,CONJ,А,CONJ,
4,причем,ПРИЧЕМ,CONJ,,,м,е,ч,и,р,п,CONJ,ПРИЧЕМ,CONJ,
5,тут,ТУТ,"ADVPRO 
",,,т,у,т,,,,ADV,ТУТ,ADV -,
6,ice,ICE,NONLEX,,,,,,,,,NONLEX,ICE,NONLEX,
7,cream,CREAM,NONLEX,,,,,,,,,NONLEX,CREAM,NONLEX,
8,cake,CAKE,NONLEX,,,,,,,,,NONLEX,CAKE,NONLEX,
9,?,?,SENT,,,,,,,,,SENT,?,SENT,
,,,,,,,,,,,,,,,
1,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
2,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
3,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
4,[,[,PUNC,,,,,,,,,PUNC,[,PUNC,
5,нрзб,НРЗБ,NONLEX,,,б,з,р,н,,,NONLEX,НРЗБ,NONLEX,
6,],],PUNC,,,,,,,,,PUNC,],PUNC,
7,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
8,/,/,PUNC,,,,,,,,,PUNC,/,PUNC,
9,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
10,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
11,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Я,Я,SPRO sg 1p - nom,,,я,,,,,,SPRO,Я,SPRO sg 1p - nom,
4,не,НЕ,PART,,,е,н,,,,,PART,НЕ,PART,
5,знаю,ЗНАТЬ,V ipf praes sg indic tran act 1p,,,ю,а,н,з,,,V,ЗНАТЬ,V ipf praes sg indic - 1p,
6,...,...,SENT,,,,,,,,,SENT,...,SENT,
,,,,,,,,,,,,,,,
1,Я,Я,SPRO sg 1p - nom,,,я,,,,,,SPRO,Я,SPRO sg 1p - nom,
2,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
3,я,Я,SPRO sg 1p - nom,,,я,,,,,,SPRO,Я,SPRO sg 1p - nom,
4,не,НЕ,PART,,,е,н,,,,,PART,НЕ,PART,
5,знаю,ЗНАТЬ,V ipf praes sg indic tran 1p,,,ю,а,н,з,,,V,ЗНАТЬ,V ipf praes sg indic - 1p,
6,!,!,SENT,,,,,,,,,SENT,!,SENT,
,,,,,,,,,,,,,,,
1,Это,ЭТО,SPRO nom sg ,,,о,т,э,,,,A,ЭТОТ,A - acc sg plen n -,
2,единственное,ЕДИНСТВЕННЫЙ,A - nom sg plen n -,,,е,о,н,н,е,в,A,ЕДИНСТВЕННЫЙ,A - nom sg plen n -,
3,слово,СЛОВО,S n inan nom sg,,,о,в,о,л,с,,S,СЛОВО,S n inan nom sg,
4,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
5,которое,КОТОРЫЙ,A - nom sg plen n -,,,е,о,р,о,т,о,A,КОТОРЫЙ,A - nom sg plen n -,
6,я,Я,SPRO sg 1p - nom,,,я,,,,,,SPRO,Я,SPRO sg 1p - nom,
7,понимаю,ПОНИМАТЬ,V ipf praes sg indic tran act 1p,,,ю,а,м,и,н,о,V,ПОНИМАТЬ,V ipf praes sg indic - 1p,
8,!,!,SENT,,,,,,,,,SENT,!,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Да,ДА,PART,,,а,д,,,,,PART,ДА,PART,
4,!,!,SENT,,,,,,,,,SENT,!,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,И,И,CONJ,,,и,,,,,,CONJ,И,CONJ,
4,еще,ЕЩЕ,ADV -,,,е,щ,е,,,,ADV,ЕЩЕ,ADV -,
5,...,...,SENT,,,,,,,,,SENT,...,SENT,
,,,,,,,,,,,,,,,
1,Еще,ЕЩЕ,PART,,,е,щ,е,,,,PART,ЕЩЕ,PART,
2,типа,ТИПА,PART,,,а,п,и,т,,,S,ТИП,S m inan gen sg,
3,	,_,,,,,,,,,,,_,4,
4,я,Я,SPRO sg 1p - nom,,,я,,,,,,SPRO,Я,SPRO sg 1p - nom,
5,кричу,КРИЧАТЬ,V ipf praes sg indic tran act 1p,,,у,ч,и,р,к,,V,КРИЧАТЬ,V ipf praes sg indic - 1p,
6,	,_,,,,,,,,,,,_,5,
7,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Да,ДА,PART,,,а,д,,,,,PART,ДА,PART,
4,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,I,I,NUM - - -,,,,,,,,,NUM,I,NUM - - -,
2,scream,SCREAM,NONLEX,,,,,,,,,NONLEX,SCREAM,NONLEX,
3,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
4,you,YOU,NONLEX,,,,,,,,,NONLEX,YOU,NONLEX,
5,scream,SCREAM,NONLEX,,,,,,,,,NONLEX,SCREAM,NONLEX,
6,...,...,SENT,,,,,,,,,SENT,...,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
4,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
5,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
